Matrix,Class,Subclass,ID,Terminus,Domain,Definition,Sources
0_Null,Identity,Ontologisch,N-334,Parmenides' Nicht-Sein,PHI,"Das absolut Undenkbare: Nicht-Sein kann weder gedacht noch gesagt werden, da Denken immer Denken von etwas ist.","Parmenides, Über die Natur, Frag. B2/B3, ca. 480 v. Chr."
0_Null,Identity,Ontologisch,N-335,Platons Chōra,PHI,"Der formlose Aufnahmeraum im Timaios — weder Sein noch Nichts, sondern das ortlose Zwischen vor aller Form.","Platon, Timaios 48e–52d, ca. 360 v. Chr."
0_Null,Identity,Ontologisch,N-336,Aristoteles' Sterēsis,PHI,"Die Privation als relatives Nichts: das Fehlen einer Form, die einem Substrat zukommen könnte.","Aristoteles, Physik I,9, 192a3–34, ca. 330 v. Chr."
0_Null,Identity,Metaphysisch,N-337,Plotins Hyle,PHI,"Die Materie als äußerster Rand der Emanation — das Dunkelste, das dem Einen am fernsten ist, fast Nichts.","Plotin, Enneaden II,4 (Über die Materie), ca. 255 n. Chr."
0_Null,Identity,Metaphysisch,N-338,Augustinus' Nihil,PHI,"Das Nichts als das, woraus Gott nicht schuf — das absolute Gegenteil des göttlichen Seins.","Augustinus, Confessiones XII,7, 397–401 n. Chr."
0_Null,Identity,Metaphysisch,N-339,Thomas: privatio,PHI,"Das Böse als Privation des Guten — keine eigenständige Substanz, sondern Abwesenheit der schuldigen Vollkommenheit.","Thomas von Aquin, Summa Theologiae I, q.48 a.1, 1265–1274"
0_Null,Identity,Metaphysisch,N-340,Nikolaus v. Kues: Possest,PHI,Das Können-Sein (Possest) vor jeder Aktualität — die coincidentia des Möglichen mit seinem eigenen Noch-nicht.,"Nikolaus von Kues, De possest, 1460; ed. Heidelberger Akademie 1973"
0_Null,Identity,Mystisch,N-341,Meister Eckharts Abgrund,PHI,"Die Gottheit jenseits Gottes — der namenlose Abgrund ohne Eigenschaften, von dem die Seele in der Gelassenheit berührt wird.","Meister Eckhart, Predigt 52 (Beati pauperes spiritu), ca. 1310; ed. Quint, DW II 1971"
0_Null,Identity,Mystisch,N-342,Böhmes Ungrund,PHI,"Der bodenlose Wille vor aller Manifestation — das ewige Nichts als Urwille, der sich selbst noch nicht will.","Jakob Böhme, Aurora oder Morgenröte im Aufgang, 1612; ed. Schiebler 1831"
0_Null,Identity,Ontologisch,N-343,Spinozas Attributlosigkeit,PHI,Was von der Substanz nicht als Attribut ausgesagt werden kann — die logische Grenze jeder Modalbestimmung.,"Baruch de Spinoza, Ethica I, def.4–6, 1677 (postum)"
0_Null,Identity,Metaphysisch,N-344,Leibniz' reines Mögliche,PHI,"Das Mögliche vor seiner Realisation: die Potenz ohne Existenz, die nach dem Sein strebt, aber noch nicht ist.","G. W. Leibniz, Monadologie §43–44, 1714; ed. Gerhardt, Phil. Schr. VI 1885"
0_Null,Identity,Erkenntnis,N-345,Kants ens rationis,PHI,Erste Klasse des Nichts (KrV): der leere Begriff ohne korrespondierenden Gegenstand in der Anschauung.,"Immanuel Kant, Kritik der reinen Vernunft B346/A291, 1787"
0_Null,Identity,Erkenntnis,N-346,Kants nihil privativum,PHI,Zweite Klasse: der leere Gegenstand eines Begriffs — das Negative als Grenzbegriff ohne Anschauungsinhalt.,"Immanuel Kant, Kritik der reinen Vernunft B347, 1787"
0_Null,Identity,Erkenntnis,N-347,Kants ens imaginarium,PHI,Dritte Klasse: leere Anschauung ohne Gegenstand — reine Form von Raum oder Zeit ohne erfüllten Inhalt.,"Immanuel Kant, Kritik der reinen Vernunft B348, 1787"
0_Null,Identity,Erkenntnis,N-348,Kants nihil negativum,PHI,"Vierte Klasse: der leere Gegenstand ohne Begriff — das sich selbst Aufhebende, der reine logische Widerspruch.","Immanuel Kant, Kritik der reinen Vernunft B348, 1787"
0_Null,Identity,Dialektisch,N-349,Fichtes Nicht-Ich,PHI,"Das absolute Nicht-Ich als gesetzter Widerstand des Ich — die Null-Setzung, die Handlung erst ermöglicht.","Johann Gottlieb Fichte, Grundlage der gesamten Wissenschaftslehre §2, 1794"
0_Null,Identity,Metaphysisch,N-350,Schellings Ungrund,PHI,"Der indifferente Grund jenseits von Natur und Geist — das Sein, das sich weder bejaht noch verneint.","Friedrich W. J. Schelling, Philosophische Untersuchungen über das Wesen der menschlichen Freiheit, 1809"
0_Null,Identity,Dialektisch,N-351,Hegels reines Sein = Nichts,PHI,Das reine Sein ohne alle Bestimmung ist dasselbe wie das reine Nichts — die Identität beider leeren Unmittelbarkeiten.,"Georg W. F. Hegel, Wissenschaft der Logik I, §86–87, 1812"
0_Null,Identity,Metaphysisch,N-352,Schopenhauers Willensverneinung,PHI,"Das Nichts als Ziel der Willensverneinung — nicht nihilistisch, sondern als Ruhe jenseits des Wollens.","Arthur Schopenhauer, Die Welt als Wille und Vorstellung I §71, 1818"
0_Null,Identity,Historisch,N-353,Nietzsche: Nihilismus-Null,PHI,Der Nihilismus als diagnostiziertes Null-Ereignis: die höchsten Werte entwerten sich — Gott ist tot.,"Friedrich Nietzsche, Wille zur Macht §2, Nachlass 1883–1888; ed. KGW VIII"
0_Null,Identity,Phänomenologisch,N-354,Husserls epoché,PHI,"Die phänomenologische Reduktion: Einklammerung aller Seinssetzungen, Rückkehr zur reinen Erscheinung.","Edmund Husserl, Ideen zu einer reinen Phänomenologie I §31–32, 1913"
0_Null,Identity,Ontologisch,N-355,Heideggers Seinsvergessenheit,PHI,Das Nichts der ontologischen Differenz: Das Sein selbst tritt zurück — es zeigt sich nur im Seienden.,"Martin Heidegger, Was ist Metaphysik?, 1929; GA Bd. 9"
0_Null,Identity,Phänomenologisch,N-356,Levinas' il y a,PHI,"Das anonyme »Es gibt« — das Rauschen des Seins vor jeder Persönlichkeit, das bedrohliche Neutrum.","Emmanuel Levinas, De l'existence à l'existant, 1947; dt. Vom Sein zum Seienden, Alber 1997"
0_Null,Identity,Sprachlich,N-357,Derridas différance,PHI,"Das Zwischen aller Bedeutung — weder Sein noch Nichts, sondern der Aufschub, der beide ermöglicht.","Jacques Derrida, La différance, in: Marges de la philosophie, 1972; dt. Randgänge der Philosophie, Passagen 1988"
0_Null,Identity,Logisch,N-358,Wittgensteins Schweigen,PHI,"Das Mystische als Grenze der Sprache — weder sagbar noch leer, sondern das Zeigbare jenseits des Gesagten.","Ludwig Wittgenstein, Tractatus logico-philosophicus §7, 1922; Suhrkamp 1963"
0_Null,Identity,Logisch,N-359,Russells leere Klasse,PHI,"Die Nullklasse als logisches Fundament — die Menge ohne Elemente, die in jeder Menge enthalten ist.","Bertrand Russell, The Principles of Mathematics §26, Cambridge UP 1903"
0_Null,Identity,Logisch,N-360,Freges Begriff 0,PHI,"Die Zahl 0 als Begriff: das, unter das nichts fällt — die logische Definition der Null aus dem Nicht-Identischen.","Gottlob Frege, Die Grundlagen der Arithmetik §74–75, Breslau 1884"
0_Null,Identity,Logisch,N-361,Carnaps Pseudoprobleme,PHI,Metaphysische Sätze als sinnleer — sie verletzen die logische Syntax der Sprache und sagen nichts aus.,"Rudolf Carnap, Überwindung der Metaphysik durch logische Analyse der Sprache, Erkenntnis 2, 1932"
