Matrix,Class,Subclass,ID,Terminus,Domain,Definition,Sources
0_Null,Baseline,Equilibrium,N-112,CO2-Bilanz Netto-Null,ECO,Die Ã¶kologische Balance zwischen Senke und Quelle.,IPCC 2021
0_Null,Baseline,Referenziell,N-113,Zero Inventory (Lean),TEC,Der ideale Prozessfluss ohne Pufferverlust.,Ohno 1988
0_Null,Baseline,Referenziell,N-114,Nullzins-Ebene,ECO,Referenzpunkt der zeitlichen Wertbewertung.,Fisher 1930
0_Null,Baseline,Referenziell,N-115,Null-Inflation,ECO,Die Konstanz der Kaufkraft als Baseline der Wirtschaft.,
0_Null,Baseline,Referenziell,N-116,Zero-Beta Portfolio,ECO,Die Abkopplung vom Marktrisiko (idiosynkratische Baseline).,
0_Null,Baseline,Physikalisch,N-117,PhasenstabilitÃ¤t (Takt),TEC,Die zeitliche Null-Abweichung in Oszillatoren.,
0_Null,Baseline,Referenziell,N-118,Symmetrie-Nullpunkt,PHY,Der Ursprung der Eichinvarianz (Gauge Zero).,
0_Null,Baseline,Physikalisch,N-119,Isotope-Baseline,PHY,Die nukleare Referenz fÃ¼r Massenspektrometrie.,
0_Null,Baseline,Physikalisch,N-120,Hintergrundstrahlung (CMB),PHY,Das thermische Minimum des sichtbaren Universums.,
0_Null,Baseline,Physikalisch,N-121,Zero-Point-Energy (â„Ï‰/2),PHY,Die unhintergehbare Restenergie des Vakuums.,
0_Null,Baseline,Physikalisch,N-122,Vakuumfluktuation (Ruhe),PHY,Das Rauschen der Baseline vor der Teilchenbildung.,
0_Null,Baseline,Physikalisch,N-123,Kosmologische Konstante,PHY,Die Nullpunktsenergie der Raumzeit-Expansion.,
0_Null,Baseline,Physikalisch,N-124,Absolute Nulltemperatur,PHY,Die Grenze der thermischen Bewegung (0 Kelvin).,
0_Null,Baseline,Physikalisch,N-125,Zero Sound (Landau),PHY,Die kollektive Anregung im Quantenvakuum.,
0_Null,Baseline,Physikalisch,N-126,Zero Field Splitting,PHY,Die Energetik ohne Ã¤uÃŸeres Feld (inherente Baseline).,
0_Null,Baseline,Referenziell,N-127,Zero Bias (Shockley),PHY,Der spannungsfreie Zustand im Halbleiter.,
0_Null,Baseline,Systemisch,N-128,Zero Crossing (Signal),TEC,Der momentun eines Richtungswechsels an der Baseline.,
0_Null,Baseline,Referenziell,N-129,Zero Phase Shift,TEC,Die unverzÃ¶gerte Ãœbertragung der Information.,
0_Null,Baseline,Systemisch,N-130,Zero Sequence Current,TEC,Die Symmetrie in Mehrphasensystemen.,
0_Null,Baseline,Physikalisch,N-131,Zero Vector Potential,PHY,Das Fehlen klassischer Felder bei Quantenwirkung.,
0_Null,Baseline,Physikalisch,N-132,Zero Angular Momentum,PHY,Der Zustand perfekter Rotations-Symmetrie.,
0_Null,Baseline,Physikalisch,N-133,Planck-Skala Minimum,PHY,Die absolute Grenze der messbaren AuflÃ¶sung.,
0_Null,Baseline,Physikalisch,N-134,Zero Curvature (Î©=1),PHY,Die energetische Flachheit des Universums.,
0_Null,Baseline,Physikalisch,N-135,Zero Gap (Graphen),PHY,Der direkte Ãœbergang zwischen Valenz- und Leitungsband.,
0_Null,Baseline,Physikalisch,N-136,Zero Mode Fermions,PHY,Teilchen, die im Vakuum-Zentrum oszillieren.,
0_Null,Baseline,Referenziell,N-137,Neuronale Baseline (EEG),PSY,Das Grundrauschen des Bewusstseins (DMN).,
0_Null,Baseline,Referenziell,N-138,Meeresspiegel (Referenz),PHY,Die physische Baseline der HÃ¶he.,
0_Null,Baseline,Referenziell,N-139,Gauge-Invarianz Null,PHY,Die UnabhÃ¤ngigkeit des Feldes von der Eichung.,
0_Null,Baseline,Referenziell,N-140,Skalen-Nullpunkt,MAT,Die notwendige Kalibrierung jeder empirischen Skala.,
0_Null,Baseline,Referenziell,N-141,Relativgeschwindigkeit 0,PHY,Das gemeinsame Ruhesystem zweier Beobachter.,
0_Null,Baseline,Referenziell,N-142,Zero-Initialization (ML),TEC,Der Kaltstart eines neuronalen Netzwerks.,
0_Null,Baseline,Normativ,N-143,Nullhypothese (H0),MAT,Die Baseline des wissenschaftlichen Zweifels.,
0_Null,Baseline,Normativ,N-144,Null-Signifikanz (p=0),MAT,Die absolute BestÃ¤tigung oder Widerlegung (Ideal).,
0_Null,Baseline,Systemisch,N-145,Nullwachstum (Okun),ECO,Das dynamische Gleichgewicht ohne Expansion.,
0_Null,Baseline,Systemisch,N-146,Null-RentabilitÃ¤t (B-E),ECO,Der Punkt, an dem ErlÃ¶s und Kosten sich nullen.,
0_Null,Baseline,Physikalisch,N-147,Null-Summe KrÃ¤fte (Newt.),PHY,Das statische Gleichgewicht der Dynamik.,
0_Null,Baseline,Physikalisch,N-148,Null-Ladung (Coulomb),PHY,Die resultierende NeutralitÃ¤t komplexer Atome.,
0_Null,Baseline,Physikalisch,N-149,Null-HauptkrÃ¼mmung,MAT,Die Eigenschaft von MinimalflÃ¤chen.,
0_Null,Baseline,Physikalisch,N-150,Nullhomotopie,MAT,Die Verformbarkeit der Welt auf den Ursprung.,
0_Null,Baseline,Physikalisch,N-151,Null-Kohomologieklasse,MAT,Die totale IntegritÃ¤t eines topologischen Raums.,
0_Null,Baseline,Referenziell,N-152,Null-Konfiguration (OS),TEC,Der Werkszustand ohne informelle Verzerrung.,
0_Null,Baseline,Referenziell,N-153,Null-Terminator (Strings),TEC,Das Ende der Zeichenfolge in der BinÃ¤rsprache.,
0_Null,Baseline,Referenziell,N-154,Null-Adresse (Pointer),TEC,Der Verweis ins absolute Nichts (Sicherheit).,
0_Null,Baseline,Systemisch,N-155,Sentinel-Nullelement,TEC,Der WÃ¤chter am Ende des Datenstroms.,
0_Null,Baseline,Referenziell,N-156,Mentale Baseline (Default),PSY,Der Zustand der Gedankenstille (Samadhi).,
0_Null,Baseline,Normativ,N-157,Emotionale Balance,PSY,Die NeutralitÃ¤t zwischen Euphorie und Depression.,
0_Null,Baseline,Systemisch,N-158,Habituation (GewÃ¶hnung),PSY,Das Verschwinden des Reizes in der Baseline.,
0_Null,Baseline,Referenziell,N-159,Sensorische Baseline,PHY,Die Reizschwelle der Wahrnehmung.,
0_Null,Baseline,Referenziell,N-160,Stille (Cage's 4'33"),PHI,Der akustische Rahmen der UmgebungsgerÃ¤usche.,
0_Null,Baseline,Physikalisch,N-161,ÅšÅ«nyatÄ (Ruhezustand),PHI,Die Leere als erfÃ¼llter Grundzustand.,
0_Null,Baseline,Normativ,N-162,Heideggers Gelassenheit,PHI,Das freie VerhÃ¤ltnis zur instrumentellen Welt.,
0_Null,Baseline,Referenziell,N-163,Langeweile (Grundstimm.),PSY,Die Null-Matrix der emotionalen Zeiterfahrung.,
0_Null,Baseline,Systemisch,N-164,Zero-Knowledge Proof,TEC,Beweis ohne Preisgabe von Information.,
0_Null,Baseline,Normativ,N-165,Null-Emission (Target),ECO,Das Ziel der anthropogenen NeutralitÃ¤t.,
0_Null,Baseline,Systemisch,N-166,Zero-Config Networking,TEC,Die automatische Baseline-Harmonisierung.,
0_Null,Baseline,Systemisch,N-167,Null-Latenz (Limit),TEC,Die Echtzeit-Baseline der SynchronitÃ¤t.,
0_Null,Baseline,Normativ,N-168,Zero-Day Neutrality,TEC,Der Zustand vor dem ersten Angriff.,
0_Null,Baseline,Systemisch,N-169,Zero-Base Budgeting,ECO,Der Neustart jeder Kalkulation vom Ursprung.,
0_Null,Baseline,Systemisch,N-170,Zero-Waste Circle,ECO,Die zyklische Null-Bilanz der Materie.,
0_Null,Baseline,Normativ,N-171,Zero-Carbon Footprint,ECO,Die persÃ¶nliche KlimaneutralitÃ¤t als Baseline.,
0_Null,Baseline,Normativ,N-172,Zero-Trust (Verify 0),TEC,Baseline des Misstrauens als Schutzraum.,
0_Null,Baseline,Systemisch,N-173,Zero-Touch Automation,TEC,Autonome Systeme ohne menschliche StÃ¶rung.,
0_Null,Baseline,Systemisch,N-174,Zero-Shot Induction,PSY,Das Lernen ohne vorherige Beispiele (A-priori).,
0_Null,Baseline,Systemisch,N-175,Zero-Inflated Stats,MAT,Statistikmodelle fÃ¼r dominante Nullexzesse.,
0_Null,Baseline,Systemisch,N-176,Zero-Lag Filtering,TEC,Die Extraktion der Wahrheit ohne VerzÃ¶gerung.,
0_Null,Baseline,Systemisch,N-177,Zero-Phase Filtering,TEC,Symmetrische GlÃ¤ttung an der Zeit-Baseline.,
0_Null,Baseline,Systemisch,N-178,Zero-Gimbal Lock,TEC,Die Symmetrie jenseits der mechanischen Blockade.,
0_Null,Baseline,Systemisch,N-179,Zero-Copy Transfer,TEC,Der direkte Datenfluss ohne Zwischenspeicher.,
0_Null,Baseline,Systemisch,N-180,Zero-Overhead API,TEC,Die minimale Schnittstelle ohne Ballast.,
0_Null,Baseline,Normativ,N-181,Zero-Maintenance Ideal,TEC,Die zeitlose Baseline der FunktionalitÃ¤t.,
0_Null,Baseline,Systemisch,N-182,Zero-Gravity Engine,PHY,Der Antrieb jenseits der lokalen FeldkrÃ¤fte.,
0_Null,Baseline,Systemisch,N-183,Zero-Hunger Baseline,SOC,Der soziale Nullpunkt der GrundbedÃ¼rfnisse.,
